dt,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
20240405,18:57:12,CNR9834201,1,CID7891331,Bike,Shastri Park,Botanical Garden,3.1,28.2,0,0,0,0,1,1,304,1.98,4.3,4.5,UPI
20241103,12:24:59,CNR8779845,2,CID7444351,Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,0,0,0,0,0,0,2847,39.21,3.1,4.6,Debit Card
20240518,17:37:52,CNR2178654,3,CID3631860,Go Mini,Qutub Minar,Vishwavidyalaya,9.2,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20241115,05:53:55,CNR3871541,2,CID9849259,Go Mini,Mundka,Preet Vihar,8.9,41,0,0,0,0,0,0,282,8.36,3.8,4.4,UPI
20240204,18:08:04,CNR2877692,2,CID5901711,Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,0,0,0,0,0,0,656,6.39,5,4.9,Uber Wallet
20240529,14:05:10,CNR9603633,2,CID5856503,Auto,Tis Hazari,Shahdara,2,19.4,0,0,0,0,0,0,134,46.66,3.8,4.4,Credit Card
20240713,19:53:15,CNR8087051,3,CID9716528,Go Sedan,New Colony,Ghitorni Village,5.4,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20240607,19:21:10,CNR7823292,2,CID9377721,Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,0,0,0,0,0,0,470,27.07,3.7,4.2,Cash
20240516,13:04:31,CNR9918895,2,CID9520433,Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,0,0,0,0,0,0,187,12.16,4.9,4.3,UPI
20241002,03:10:35,CNR7401001,2,CID9958715,Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,0,0,0,0,0,0,186,10.28,4.4,4.6,UPI
20240226,15:43:16,CNR2631310,2,CID4355670,eBike,Seelampur,Janakpuri,10,35.8,0,0,0,0,0,0,70,44.42,4.1,4.4,UPI
20240910,13:02:42,CNR4218487,4,CID3037053,Bike,Noida Extension,Udyog Vihar Phase 4,11,28.8,1,1,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240912,09:14:57,CNR5333099,3,CID5112050,Auto,Adarsh Nagar,Civil Lines Gurgaon,8,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20240124,10:47:57,CNR5969954,2,CID5558118,Auto,Vinobapuri,Karkarduma,12.8,18.7,0,0,0,0,0,0,273,34.64,4.5,4.6,Uber Wallet
20240212,19:42:39,CNR4130953,1,CID3196782,Premier Sedan,Panipat,Tagore Garden,6.4,10.5,0,0,0,0,1,2,966,18.3,4.3,4.5,Debit Card
20241002,19:17:00,CNR6693125,3,CID7364449,Auto,Karol Bagh,Tagore Garden,5.4,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240401,21:14:19,CNR9572979,2,CID3474992,Go Sedan,Sultanpur,Noida Extension,12.2,42.3,0,0,0,0,0,0,251,20.91,4.2,3.6,Debit Card
20240918,21:06:36,CNR6444364,3,CID8262635,Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240802,07:17:07,CNR4862806,4,CID7875150,Auto,Shastri Park,Anand Vihar ISBT,11.3,28.8,1,2,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240930,13:10:50,CNR4674790,1,CID4795905,Bike,Dilshad Garden,Nehru Place,2.3,29.7,0,0,0,0,1,1,453,19.24,4.3,4.5,Debit Card
20240616,00:44:47,CNR6866217,2,CID7798304,Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,0,0,0,0,0,0,246,8.13,4.2,4.5,UPI
20240918,09:33:55,CNR4932611,2,CID8795963,Auto,Aya Nagar,Karkarduma,8.8,25.2,0,0,0,0,0,0,237,2.96,3.9,3.3,UPI
20240504,21:26:59,CNR1572483,1,CID6059557,Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,0,0,0,0,1,1,1581,1.82,4.3,4.5,Cash
20240603,18:14:47,CNR6945858,2,CID9079088,Go Mini,MG Road,Hauz Rani,4.1,25.1,0,0,0,0,0,0,379,33.04,4.2,4.5,Uber Wallet
20241003,22:20:34,CNR6584679,2,CID4738537,Go Mini,Jasola,Palam Vihar,11.2,40.7,0,0,0,0,0,0,545,44.7,4.3,4.3,Cash
20240525,11:24:29,CNR6125653,2,CID2808212,Go Mini,Kashmere Gate,RK Puram,3,35.4,0,0,0,0,0,0,479,7.38,4.2,4.6,UPI
20240304,17:46:46,CNR6092529,3,CID5040634,Go Sedan,Ardee City,Basai Dhankot,11.2,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20241110,05:13:57,CNR6339107,2,CID7358763,Go Mini,Punjabi Bagh,Madipur,9.1,23.2,0,0,0,0,0,0,647,24.93,4.3,4.7,Uber Wallet
20240911,10:36:44,CNR1349015,3,CID9386278,Auto,Meerut,Badarpur,4.3,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240411,15:43:34,CNR9773309,0,CID9965847,Uber XL,Anand Vihar ISBT,Dwarka Sector 21,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240601,10:03:27,CNR2107544,2,CID1266188,Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,0,0,0,0,0,0,125,25.16,4.3,5,Credit Card
20240509,10:44:30,CNR4171959,3,CID8470723,Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20240730,12:02:26,CNR5316307,2,CID1816553,Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,0,0,0,0,0,0,375,48.85,3.3,3.3,Cash
20240225,16:23:19,CNR3635865,2,CID6477355,Auto,Cyber Hub,Yamuna Bank,11.7,33,0,0,0,0,0,0,310,24.41,4.6,3.8,Debit Card
20240209,11:15:59,CNR2497989,4,CID5007066,Auto,Karkarduma,IGI Airport,16.6,28.8,1,1,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240302,04:59:03,CNR8946337,3,CID6438326,Go Sedan,Shastri Nagar,New Colony,5.4,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20240827,18:22:02,CNR3740694,1,CID5885514,Auto,Aya Nagar,Green Park,2.3,10.1,0,0,0,0,1,1,370,13.85,4.3,4.5,Cash
20240308,09:28:38,CNR4660896,3,CID5486947,Premier Sedan,Dwarka Mor,ITO,5.8,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240320,09:59:11,CNR2513330,3,CID7805280,Premier Sedan,Adarsh Nagar,Noida Extension,6.7,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20240125,12:39:21,CNR9252424,2,CID9413620,eBike,Vidhan Sabha,Mehrauli,12.1,18.1,0,0,0,0,0,0,291,3.71,3.2,4.3,UPI
20240411,11:14:35,CNR3096031,2,CID3101926,Auto,Anand Vihar,Saket,5.8,24.3,0,0,0,0,0,0,114,32.98,4.3,4.5,Uber Wallet
20240617,20:25:47,CNR4141159,2,CID6810411,Go Mini,Uttam Nagar,New Delhi Railway Station,4,44.5,0,0,0,0,0,0,464,11.2,4.5,4.2,Cash
20240729,19:52:48,CNR6757829,2,CID8433663,Go Sedan,Model Town,Mundka,3.4,27.1,0,0,0,0,0,0,160,45.4,4,5,Cash
20241222,10:53:20,CNR6204326,3,CID9419495,Auto,Mandi House,India Gate,11.1,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20241221,21:40:00,CNR3347993,2,CID4871438,eBike,Ghitorni,Pitampura,9.9,38.5,0,0,0,0,0,0,206,28.78,4.1,3.7,Cash
20240223,11:38:09,CNR6796311,1,CID1880505,Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,0,0,0,0,1,3,217,2.81,4.3,4.5,Credit Card
20240505,21:22:39,CNR3908312,2,CID8787746,Bike,Okhla,Netaji Subhash Place,8.1,37.3,0,0,0,0,0,0,633,17.34,4.5,4.9,Credit Card
20241108,17:01:10,CNR9416323,2,CID1025742,Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,0,0,0,0,0,0,717,9.38,4.2,4.5,UPI
20241226,21:21:55,CNR2912296,2,CID8094609,Go Sedan,Rajiv Nagar,Ramesh Nagar,6,26.7,0,0,0,0,0,0,151,11.9,4.9,4.5,UPI
20240905,07:44:18,CNR4611314,2,CID6968311,Premier Sedan,Sohna Road,New Delhi Railway Station,5,34.7,0,0,0,0,0,0,512,35.66,3.7,4.9,UPI
20241125,08:29:14,CNR2601752,4,CID9283370,Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12,28.8,1,2,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240815,18:40:03,CNR5793527,3,CID5705499,Premier Sedan,Anand Vihar ISBT,Rohini,3.2,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20240210,09:17:39,CNR4487090,2,CID1210782,Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,0,0,0,0,0,0,1390,21.79,5,4.9,UPI
20240926,11:33:51,CNR5266935,3,CID2831708,Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240701,17:39:56,CNR1487489,2,CID3403699,Bike,Moolchand,Karol Bagh,3.9,23,0,0,0,0,0,0,224,7.86,4.1,4.2,Cash
20241019,16:24:50,CNR6351034,2,CID2038230,Auto,Uttam Nagar,Vaishali,8.4,31.3,0,0,0,0,0,0,708,18.04,4.6,4.8,UPI
20240209,10:51:01,CNR7600870,2,CID7289498,Auto,INA Market,IFFCO Chowk,7.7,43.7,0,0,0,0,0,0,153,15.18,4.2,3.6,Uber Wallet
20240331,12:37:12,CNR5444321,3,CID3326946,Bike,Sushant Lok,Noida Sector 62,6.3,28.8,0,0,1,4,0,0,414,23.72,4.3,4.5,Not Applicable
20241211,17:05:36,CNR8509610,2,CID8227993,Bike,IIT Delhi,Mansarovar Park,5,35,0,0,0,0,0,0,72,13.38,4.7,4.2,Cash
20240619,16:19:41,CNR6851549,1,CID9560489,Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,0,0,0,0,1,3,282,11.81,4.3,4.5,UPI
20240620,18:58:36,CNR3318044,0,CID4051792,Go Mini,Adarsh Nagar,Gwal Pahari,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240710,02:23:12,CNR3126177,2,CID1851430,Premier Sedan,Munirka,Saidulajab,10.9,43.6,0,0,0,0,0,0,696,30.9,4.7,3.7,UPI
20240206,21:27:00,CNR6453539,1,CID6999817,eBike,New Colony,Jasola,5.7,18,0,0,0,0,1,1,936,14.91,4.3,4.5,Uber Wallet
20240930,12:34:51,CNR7449144,2,CID8609350,Auto,IGNOU Road,Tis Hazari,8.6,32.7,0,0,0,0,0,0,2169,44.25,4.4,4.3,Uber Wallet
20240920,13:09:16,CNR1970319,2,CID6085619,eBike,Meerut,Udyog Bhawan,9.5,24.6,0,0,0,0,0,0,136,45.46,3.2,3.8,Uber Wallet
20240430,20:25:28,CNR4415815,2,CID8351180,Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,0,0,0,0,0,0,214,2.91,4.1,4.7,UPI
20240604,20:38:07,CNR3899082,2,CID5467225,Go Mini,Akshardham,Mayur Vihar,10.3,16.4,0,0,0,0,0,0,835,37.57,4.2,4.8,UPI
20241030,16:29:36,CNR3274519,3,CID3829804,eBike,Chhatarpur,Gurgaon Sector 29,6,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240811,18:21:32,CNR3263958,2,CID3231090,Go Sedan,IMT Manesar,Ashram,2.6,36.2,0,0,0,0,0,0,705,40.18,3.9,4.8,UPI
20240521,17:39:58,CNR5822542,0,CID1628370,Uber XL,Madipur,DLF City Court,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241008,08:52:57,CNR9652983,2,CID4773175,Go Sedan,Azadpur,Khan Market,2.1,35.5,0,0,0,0,0,0,480,20.22,4.3,4.8,Debit Card
20240326,18:59:52,CNR2598306,4,CID5704025,Premier Sedan,Chhatarpur,Badshahpur,14.4,28.8,1,3,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240624,18:04:39,CNR3274827,2,CID3134967,Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,0,0,0,0,0,0,707,44.76,4.8,4.4,UPI
20240328,19:20:01,CNR9139265,3,CID4003339,Bike,Jhilmil,DLF Phase 3,9.9,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20240927,20:16:53,CNR8036415,2,CID9244184,eBike,Sikanderpur,Greater Noida,10,38,0,0,0,0,0,0,865,43.34,3.2,3.8,Cash
20240426,15:45:51,CNR8433849,2,CID7659765,Bike,Mayur Vihar,IGNOU Road,10.8,40,0,0,0,0,0,0,768,5.97,4.3,4.8,Cash
20240519,18:47:16,CNR2948784,2,CID7747807,Bike,Rohini West,Yamuna Bank,7,37,0,0,0,0,0,0,626,27.96,3.9,4.3,Uber Wallet
20240605,11:16:12,CNR1996806,2,CID2293483,Go Mini,Mandi House,Bahadurgarh,9.2,40.4,0,0,0,0,0,0,443,21.19,4.2,5,UPI
20240107,16:21:31,CNR6241612,4,CID5715130,Auto,Azadpur,Hauz Rani,7.9,28.8,1,2,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240419,14:14:27,CNR5222120,2,CID2370613,Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,0,0,0,0,0,0,226,47.63,3.6,4.1,UPI
20240331,16:34:57,CNR6596872,2,CID2589193,Auto,Shastri Nagar,Saket A Block,12.8,30.6,0,0,0,0,0,0,449,24.4,3.3,4.1,UPI
20240326,19:13:05,CNR7149058,2,CID7341591,Go Mini,Vinobapuri,Shastri Park,5.9,21.1,0,0,0,0,0,0,778,7.49,4.3,4.9,UPI
20240610,15:24:51,CNR5726463,2,CID3407189,Bike,Rohini West,Yamuna Bank,14.7,18.8,0,0,0,0,0,0,361,24.44,4.3,4.8,UPI
20240816,17:05:19,CNR3975551,2,CID2944423,Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,0,0,0,0,0,0,235,9.2,4.3,3.9,UPI
20240204,15:32:16,CNR8637930,2,CID8137475,Go Sedan,Rohini,Botanical Garden,8.6,15.9,0,0,0,0,0,0,186,28.09,4.2,4.4,Cash
20240624,18:46:34,CNR9935095,1,CID7359331,Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,0,0,0,0,1,2,544,3.37,4.3,4.5,Cash
20240323,11:31:18,CNR8893726,0,CID8335294,Bike,IFFCO Chowk,Dilshad Garden,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240721,10:45:00,CNR3975051,4,CID5797043,Go Mini,Hauz Rani,Kaushambi,13.1,28.8,1,2,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240922,06:39:39,CNR1984811,4,CID6701334,Auto,Dilshad Garden,Qutub Minar,8.1,28.8,1,4,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240526,22:36:05,CNR7036055,2,CID7359512,Bike,Faridabad Sector 15,Vinobapuri,7.7,25,0,0,0,0,0,0,86,40.1,3.6,4.4,Cash
20240330,13:55:19,CNR3449107,3,CID8684841,Auto,Sarai Kale Khan,Central Secretariat,8.1,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20240919,08:47:23,CNR6919653,0,CID5736754,Go Mini,Vishwavidyalaya,MG Road,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241226,16:16:56,CNR8504461,2,CID3984123,Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,0,0,0,0,0,0,234,42.5,3.7,4.9,Cash
20240628,10:22:29,CNR3712671,3,CID5160108,eBike,Mayur Vihar,Vidhan Sabha,11.9,28.8,0,0,1,4,0,0,414,23.72,4.3,4.5,Not Applicable
20241130,18:36:50,CNR8819329,2,CID6695773,Go Sedan,Vaishali,Tilak Nagar,6,44.4,0,0,0,0,0,0,758,41.42,4.9,3.6,Cash
20241104,13:46:26,CNR3734278,1,CID6462328,Auto,Kashmere Gate ISBT,Laxmi Nagar,7.9,16.7,0,0,0,0,1,2,629,17.52,4.3,4.5,UPI
20240416,19:41:40,CNR2472864,2,CID7156852,Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,0,0,0,0,0,0,273,31.69,4.4,4.8,UPI
20240912,05:52:14,CNR3239651,2,CID9573465,Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,0,0,0,0,0,0,117,33.74,4.5,3.7,Debit Card
20240607,18:08:10,CNR2646387,2,CID8652330,Go Sedan,Khan Market,Central Secretariat,13.3,15.8,0,0,0,0,0,0,955,36.82,3.7,3.7,UPI
20240601,15:55:36,CNR4724814,2,CID1251463,Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,0,0,0,0,0,0,139,38.75,4.4,4.3,UPI
20240505,14:17:24,CNR2200152,2,CID6635464,Go Mini,Mansarovar Park,Rohini,13.3,30.7,0,0,0,0,0,0,255,17.07,4.3,4.4,Cash
20240115,17:05:26,CNR5060137,2,CID2961093,Auto,Rithala,Aya Nagar,9.5,18,0,0,0,0,0,0,1212,19.18,4.3,4.3,UPI
20240708,17:50:10,CNR9291876,2,CID9026677,Go Sedan,Shastri Park,Indraprastha,10,23.6,0,0,0,0,0,0,81,23.93,4.7,3.9,Debit Card
20240814,17:41:00,CNR4212658,2,CID5774800,Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,0,0,0,0,0,0,940,29.09,4.2,4.6,UPI
20240731,17:07:36,CNR7677229,3,CID8986725,Auto,Jhilmil,Vidhan Sabha,8.5,28.8,0,0,1,4,0,0,414,23.72,4.3,4.5,Not Applicable
20240508,16:37:21,CNR4415643,2,CID4718297,eBike,Saidulajab,Hauz Khas,10,17.9,0,0,0,0,0,0,98,27.55,4.2,4.1,Cash
20240729,12:28:32,CNR4092218,2,CID5726360,Premier Sedan,Tughlakabad,Meerut,5.9,15.5,0,0,0,0,0,0,724,14,4.1,4.2,Cash
20240809,16:41:35,CNR8034979,2,CID1915443,eBike,Kashmere Gate,Karkarduma,8,25.3,0,0,0,0,0,0,749,47.3,4.4,4.3,UPI
20240815,22:15:54,CNR7228014,0,CID3515824,eBike,Madipur,Saket,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241002,09:10:13,CNR1435581,2,CID1856576,Auto,Shastri Park,Barakhamba Road,11.5,37.4,0,0,0,0,0,0,244,14.59,4.1,4.8,UPI
20240512,01:09:07,CNR5373942,0,CID7792143,Auto,Nawada,Jahangirpuri,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240220,18:51:34,CNR3434703,1,CID3333217,Auto,Shahdara,Bhiwadi,2.6,22.8,0,0,0,0,1,1,351,8.68,4.3,4.5,UPI
20240526,20:45:58,CNR6987620,2,CID3121337,Auto,Tilak Nagar,Azadpur,5.4,28.9,0,0,0,0,0,0,585,34.14,4.6,4.1,Debit Card
20241224,10:30:20,CNR4132145,2,CID5140786,Auto,DLF Phase 3,Udyog Vihar Phase 4,6.4,44.7,0,0,0,0,0,0,554,31.79,4.3,4.6,Cash
20240607,17:11:59,CNR8207805,2,CID6685791,Bike,Laxmi Nagar,Sohna Road,10.8,28.5,0,0,0,0,0,0,803,25.01,4.1,4.5,Credit Card
20240428,19:59:01,CNR1438443,2,CID5468663,Go Mini,Huda City Centre,Akshardham,9.4,24.8,0,0,0,0,0,0,388,17.56,4.2,4.7,UPI
20240126,18:13:59,CNR6129081,4,CID2998238,Bike,Shastri Nagar,Shivaji Park,7,28.8,1,5,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240118,23:04:30,CNR1361929,2,CID9052724,Go Mini,Uttam Nagar,Greater Kailash,11.2,38.5,0,0,0,0,0,0,192,48.96,3.1,4.6,UPI
20240415,19:03:28,CNR2687237,2,CID4887972,Go Mini,Mehrauli,Nawada,9,39.1,0,0,0,0,0,0,79,32.91,4.4,3.8,Uber Wallet
20241219,20:42:59,CNR7486337,0,CID8581638,Go Mini,Mansarovar Park,Manesar,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240122,18:23:40,CNR4269906,2,CID9683944,Bike,Lajpat Nagar,Okhla,2.4,26.6,0,0,0,0,0,0,242,45.7,4,4.9,UPI
20240808,21:13:51,CNR1224347,4,CID5493342,Go Sedan,Patel Chowk,Nirman Vihar,13.4,28.8,1,2,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240521,20:31:57,CNR1401386,2,CID2154950,Go Mini,Botanical Garden,Azadpur,5.4,32.6,0,0,0,0,0,0,323,38.32,4.4,3.7,Uber Wallet
20240817,12:35:03,CNR2013487,3,CID4175153,Auto,Bahadurgarh,Pragati Maidan,7.7,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20240602,21:27:23,CNR7409512,2,CID5474366,Auto,Karol Bagh,Palam Vihar,5.4,24.4,0,0,0,0,0,0,799,9.1,4.2,4.6,UPI
20240311,22:20:11,CNR7658099,4,CID8951576,eBike,Azadpur,Raj Nagar Extension,19.1,28.8,1,4,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241120,16:42:58,CNR1980045,2,CID9418411,Premier Sedan,Ramesh Nagar,Greater Kailash,2.9,39.3,0,0,0,0,0,0,134,49.26,4.1,4.9,UPI
20241023,10:50:53,CNR8584951,3,CID2820460,Go Mini,Malviya Nagar,Lajpat Nagar,3.9,28.8,0,0,1,3,0,0,414,23.72,4.3,4.5,Not Applicable
20240810,18:36:43,CNR2607733,4,CID5637874,Bike,Dwarka Sector 21,Malviya Nagar,18.5,28.8,1,4,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240506,19:24:18,CNR6693847,4,CID6386344,Bike,Noida Film City,Keshav Puram,16.1,28.8,1,2,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241113,06:51:43,CNR9749627,2,CID3065827,Go Sedan,Nirman Vihar,Satguru Ram Singh Marg,13.7,40.7,0,0,0,0,0,0,113,8.21,4.3,5,UPI
